text,class,infoclass,city
"Nel parchetto giochi tra via Filippo Turali e Via Aldo Moro  uno dei giochi per bambini presenti il cavallino e rotto  Inoltre la fontana presente nel parchetto non funziona  Risultava presente anche molta sporcizia che ho eliminato io ",1,"Ambiente","castelnuovo"
"LA CADITOIA INDICATA E  COMPLETAMENTE OTTURATA",1,"Ambiente","castelnuovo"
"la zona dei giardini pubblici a ridosso delle mura sembra abbandonata a se stessa  erba alta ovunque e siepe vicino alla cabina del telefono da potare rende difficile il passaggio  grazie",1,"Ambiente","castelnuovo"
"L illuminazione notturna nella piazza  nelle luci poste ai quattro angoli della piramide  risulta guasta  Cio rende tutta la piazza buia e pericolosa durante il transito pedonale nelle ore notturne ",2,"Illuminazione","castelnuovo"
"Il giorno di pasquetta  nel punto indicato  era possibile notare quantita notevoli di immondizia che debordavano dal cestino che evidentemente era tempo che non veniva svuotato  Se si mette un cesto  e anche opportuno prevedere un servizio di ripulitura  Altrimenti  bisogna affidarsi al buon senso civico delle persone ",1,"Ambiente","castelnuovo"
"da oltre due mesi non viene effettuata da parte del Comune la pulizia della strada in oggetto  la presenza di evidente sporcizia richiederebbe una pulizia urgente",3,"Manutenzione","castelnuovo"
"nel verde pubblico di fronte al mio giardino c e  un lampione spento  chiedo cortesemente che venga riparato  grazie",2,"Illuminazione","castelnuovo"
"Area frontestante il muretto della mia abitazione snc  destinata a parcheggio pubblico che e spesso sporcata da escrementi canini  Si richiede di dotarla di apposita segnaletica divieto di condurre cani o simili e in generale di garantire maggiori controlli e assicurare una una maggiore pulizia ed igiene   Simile segnalazione  per la zona snc lato strada   Cordiali Saluti",3,"Manutenzione","castelnuovo"
"Le altalene e i giochi posti in Via Tarantelli  di fronte scuola Italo Calvino  necessitano di una manutenzione  In particolare lo scivolino e i cavallini hanno parti in legno danneggiate e il richio e che qualche bimbo si possa far male  Sarebbe opportuno anche aggiungere qualche gioco ",1,"Ambiente","castelnuovo"
"lampione non funzionante in via del lavoro in prossimita scala centrale edificio",2,"Illuminazione","castelnuovo"
"vi facciamo presente una invasione di formiche in tutta la piazza non possiamo uscire di casa e camminare nella piazza perche subito salgono sui piedi e sulle gambe  pensate ai bambini  ",1,"Ambiente","castelnuovo"
"La chiavica della strada comunale scarica acqua su strada vicinale che porta al podere Alceta rendendo impraticabile la strada  La chiavica necessita di ulteriore canalizzazione ",1,"Ambiente","castelnuovo"
"L erba e le siepi del giardino pubblico di via Alfieri hanno bisogno di essere tagliati  Inoltre  sarebbe auspicabile che venissero tolti gli inutili tubi di cemento nel giardino  Grazie per quello che potrete fare",1,"Ambiente","castelnuovo"
"faccio parte del condominio al n   di s  Piero tutte le volte che usciamo ci dobbiamo raccomandare al padreterno che non arrivi nessuno in quanto no riusciamo a vedere ne a destra ne a sinistra sono successi gia incidenti sarebbe opportuno metterre o autorizzare a installare uno specchio che possa mettere in evidenza almeno la parte sinistra ed un limite di velocita auspicando magari anche vari controlli da chi proposto  grazie",3,"Manutenzione","castelnuovo"
"lampione davanti al n civico  via grilli NON FUNZIONANTE",2,"Illuminazione","castelnuovo"
"in via alfieri sarebbe necessario ridisegnare le strisce dei parcheggi  ormai quasi invisibili",4,"Sicurezza","castelnuovo"
"richiesta di rifacimento manto stradale  molto rovinato Richiesta di divieto di transito ai trattori che potrebbero passare per la strada sterrata ",3,"Manutenzione","castelnuovo"
"richiesta di rifacimento manto stradale  molto rovinato Richiesta di divieto di transito ai trattori che potrebbero passare per la strada sterrata ",3,"Manutenzione","castelnuovo"
"La strada segnalata e stata per anni transitata dai mezzi operativi nei cantieri edili della zona  Il manto stradale e in condizioni pessime da anni ed sta peggiorando a causa delle radici dei pini che lo stanno deformando  Pericolosissimo percorrere questa strada soprattutto con i mezzi a due ruote",3,"Manutenzione","castelnuovo"
"chiedo se possibile tenere spenti i lampioni  di via del romitoche si spengono a mezzanotte fino alla una e accenderli da quella ora fino alle cinque  questo per la sicurezza del nostro  grazie",2,"Illuminazione","castelnuovo"
"Segnalo che i due lampioni sul verde pubblico antistante la mia abitazione di Via F lli Rosselli    sono spenti da alcuni giorni ",2,"Illuminazione","castelnuovo"
"illuminazione guasta",2,"Illuminazione","castelnuovo"
"manca una buca fatecela ",3,"Manutenzione","castelnuovo"
"LAMPADA MAL FUNZIONANTE LAMPIONE PUBBLICO VIA DELL ULIVO PRESSO IL NUMERO CIVICO ",2,"Illuminazione","castelnuovo"
"Lampione nella piazzetta con lampadina guasta",2,"Illuminazione","castelnuovo"
"piccolo tratto di strada mancante di illuminazione pubblica   possibilita di istallazione di  lampioni ",2,"Illuminazione","castelnuovo"
"All incrocio di Pialli I e presente una chiazza sul manto stradale  Sembra essere una perdita di acqua  Da considerare che qualche metro piu indietro sono stati eseguiti e piu volte  uno anche di recente interventi di ripristino per altre fuoriuscite simili ",1,"Ambiente","castelnuovo"
"da alcuni giorni il depuratore emana una puzza insopportabile  Non si puo stare fuori",1,"Ambiente","castelnuovo"
"da alcuni giorni il depuratore emana una puzza insopportabile  Non si puo stare fuori",1,"Ambiente","castelnuovo"
"strada dissestata su un lato i veicoli transitano solo su una parte della strada in ambo i sensi ",3,"Manutenzione","castelnuovo"
"in via alfieri  come gia segnalato  le strisce dei parcheggi sono praticamente invisibile  circa un mese fa sono state rifatte le striscesegnaletica orizzontalestopdare preced etcil parcheggio vicino al torrente scheggiolla  ma su via alfieri nulla  ",4,"Sicurezza","castelnuovo"
"Vorrei segnalare la caduta di un albero secco ormai da anni sulla strada che porta verso la localita di Monaciano  Questo non sarebbe accaduto se fosse stato tolto prima ma e molto tempo che il Comune non si occupa piu del verde pubblico di Ponte a Bozzone  Inoltre io mi trovavo vicino con la bimba nel passeggino e ovviamente mi sono spaventata molto  capisco che vogliate spendere per la bellezza del centro di Castelnuovo  ma almeno occupatevi delle le opere di sicurezza pubblica delle altre frazioni anche perche  fosse andata in una altro modo  sapete benissimo che la questione non si sarebbe risolta con una semplice segnalazione  A Ponte a Bozzone purtroppo i problemi sono tanti altri  fognature   depuratore  manutenzione stradale e ormai ci sentiamo abbandonati da tempo    Cordiali saluti  Giulia",1,"Ambiente","castelnuovo"
"Buongiorno  mi sono reso conto che e ancora presente un segnale stradale che indica la fermata dello scuolabus  Da anni il servizio non e piu utilizzato ma il cartello e ancora presente e in buone condizioni e puo essere rimosso ed utilizzato presso una nuova fermata di nuovi alunni che usufruiscono del servizio di trasporto scolastico ",4,"Sicurezza","castelnuovo"
"Salve  e assolutamente necessario apporre un cartello nel giardinetto di Piazza Guttuso che fa divieto ai proprietari di animali di condurli per i loro bosogni  Lo richiediamo da molti anni ormai  Non si puo davvero attendere oltre ",1,"Ambiente","castelnuovo"
"Il lampione situato vicino alla cabina telefonica di Piazza Marconi ha il vetro rotto",2,"Illuminazione","castelnuovo"
"Provenendo da Piazza Marconi verso Via Chianti  il terzo lampione dopo la cabina telefonica e spento e la zona circostante e al buio",2,"Illuminazione","castelnuovo"
"Il lampione situato in Via del Corniolo  davanti a casa di Fernando Bianconi e dietro casa Celesti funziona ad intermittenza da almeno  mesi ",2,"Illuminazione","castelnuovo"
"c e  un lampione che non funziona",2,"Illuminazione","castelnuovo"
"Si richiede urgente pulizia strade di via del Bosco a San Giovanni A Cerreto che non viene effettuata da quasi due mesi  La presenza di una grande quantuta di foglie e rami vari rende indecorosa e anche pericoloso percorrere la strada stessa  Per il futuro si riterrebbe necessario una pulizia periodica programmmata  ",3,"Manutenzione","castelnuovo"
"luce lampione stradale guasta",2,"Illuminazione","castelnuovo"
"salve  sto a comunicare la mancanza di uno specchio per visualizzare il traffico delle macchine che malgrado la segnaletica  a san piero risulta comunque troppo veloce  Abito al numero  e con me  altri coinquilini e per immettersi sulla strada principale siamo costretti a sporgeci per visualizzare le macchine che provengono da sinistra e destra  infatti ci troviamo in curva e il muro di cinta si trova al margine stradale  Uno specchio che sarebbe di grande aiuto  A me e gia successo un incidente che ha distrutto la mia macchina precedente e altri hanno avuto esperienze simili  Chiedo cortesemente che possa essere collocato uno specchio sulla colonna di mattoni  che si trova nel punto lasciato sulla carta  il cui proprietario sarebbe gia consensiente  Cordiali saluti",4,"Sicurezza","castelnuovo"
"CARTELLO STRADALE ESTIRPATO DAL SUOLO  L ERBA ALTA PRESENTE AI GIARDINI e INDECENTE ",4,"Sicurezza","castelnuovo"
"il lampione e spento e non funzionante da circa una settimana",2,"Illuminazione","castelnuovo"
"LAMPADA BRUCIATA VIA ULIANO GRILLI  DA OLTRE TRE GIORNI  CORDIALI SALUTI",2,"Illuminazione","castelnuovo"
"Strada impercorribile  piena di buche e con regimazione di acque inefficente",3,"Manutenzione","castelnuovo"
"si richiede manutenzione luce pubblica in tutta via pio VI dato che di  lampioni pubblici ne funziona solo ",2,"Illuminazione","castelnuovo"
"Il lampione dell incrocio tra via Gramsci e via De Gasperi non funziona",2,"Illuminazione","castelnuovo"
"La strada e inizialmente in piano  ma nel secondo tratto scende ripida angolo del  verso una strada principale  Questxexxultimo tratto in discesa che si immette nella strada principale e in cattive condizioni con buche e la superficie e irregolare creando pericolo per i ciclisti  La discesa ripida non e segnalata e dunque lxexxignaro ciclista si trova improvvisamente e senza preavviso su una strada in forte pendenza e mal asfaltata ",3,"Manutenzione","castelnuovo"
"i LAMPIONI DAL NUM  CIVICO  AL NUM  CIVICO  SONO STATI SPENTI NELLE NOTTI DEL  GIUGNO  E NELLE NOTTI DEL  GIUGNO ",2,"Illuminazione","castelnuovo"
"L inizio di Via del Taglio non ha alcun tipo di illuminazione  il cartello con il nome della strada e totalmente al buio  andrebbe valutata la necessita di installare un lampione ",2,"Illuminazione","castelnuovo"
"Il primo lampione di via dei Fiori venendo da Via senese funziona ad intermittenza ",2,"Illuminazione","castelnuovo"
"le auto provenienti da pontignano scendono ad alte velocita giorno e notte  sono presenti anche strisce pedonali e il tratto e diventato estremamente pericoloso specie per bambini e anziani  Sarebbe il caso di inserire dossi artificiali al fine di rallentare le auto prima che possa succedere qualcosa ",3,"Manutenzione","castelnuovo"
"Buongiorno  con la presente sono a richiedere la costruzionedelimitazione di un area o una zona dedicata allo sguinzagliamento dei cani  Purtroppo come sempre piu frequenza mi sono ritrovato a discutere con i residenti  perche le uniche aree verdi illuminate sono destinate ai bambini e quindi  secondo loro  vietate ai cani  Mi sono arrivate anche minacce  Vi prego di darmi risposta quanto prima  Grazie   Cordiali saluti  Marco Minucci",1,"Ambiente","castelnuovo"
"Si richiede urgentemente un area per cani a Monteaperti",1,"Ambiente","castelnuovo"
"si segnala la mancanza di un area cani in localita Monteaperti",1,"Ambiente","castelnuovo"
"Si segnala che a Vagliagli ai cassonetti dei rifiuti in via Senese  incrocio con strada di Carpineto vengono di continuo abbandonati rifiuti ingombranti  Oggi sono presenti  televisori  un materasso con rete e diversi scatoloni pieni di rifiuti ",1,"Ambiente","castelnuovo"
"salbve  vorrei segbnalare al totale asenza di illuminazione al bivio tra via della scheggiolal e via chiantigiana in loc  ponte a bozzone   la situazione si protrae da anni ormai    grazie",2,"Illuminazione","castelnuovo"
"Le strade di via salvani e via ceccolini sono perennemente sporche e i cestini non vengono mai svuotati se non dai cittadini mossi da un po di buon senso civico  e una situazione inaccettabile ",1,"Ambiente","castelnuovo"
"Segnalo il guasto di almeno due lampioni pubblici in via Frati Minori  dove risiedo ",2,"Illuminazione","castelnuovo"
"soprattutto nei giorni di pioggia la buca che si trova sul passaggio pedonale che conduce fino alle scuole  costringe i ragazzi che vi si dirigono a piedi a spostarsi sulla carreggiata stradale rischiando di venire travolti dagli automezzi che transitano in velocita",3,"Manutenzione","castelnuovo"
"L asfalto intorno al tombino e calato creando uno scalino di circa  cm ed e pericoloso per bici e moto e con il rischio di spaccare le gomme per le auto ",3,"Manutenzione","castelnuovo"
"IL LAMPIONE TRA I CIVICI  E  DI VIA GIORGIO LA PIRA xcx SPENTO DA MOLTO TEMPO",2,"Illuminazione","castelnuovo"
"i lampioni sono tutti spenti vengono a riaccenderli ma dopo qualche giorno si spengono",2,"Illuminazione","castelnuovo"
"nei tratto  ponte a bozzone  geggiano e non solo lil manto stradale e dissestato al punto che piu volte si e rischiato di scontrarsi con altre autovetture per evitare le buche  Buche avvolte talmente profonde da rovinare i cerchi   Cordiali saluti",3,"Manutenzione","castelnuovo"
"in via alfieri la segnaletica orizzontalestopparcheggi etc e praticamente scomparsa  ennesima segnalazione a distanza di anni",4,"Sicurezza","castelnuovo"
"Ritorno nel vostro paese  splendente appena  anni fa  e trovo tutta la segnaletica stradale completamente esausta con auto parcheggiate addirittura lungo il passante pedonale e sul marciapiede angolo via Turati supermercato Simply ",4,"Sicurezza","castelnuovo"
"nel tratto di strada  segnalato nelle vicinanze di podere casella sono presenti dossi  creati dalle radici di pini estremamente pericolosi per bici e moto  cordiali saluti",3,"Manutenzione","castelnuovo"
"Nel parchetto giochi tra via Filippo Turali e Via Aldo Moro  uno dei giochi per bambini presenti il cavallino e rotto  Inoltre la fontana presente nel parchetto non funziona  Risultava presente anche molta sporcizia che ho eliminato io ",1,"Ambiente","castelnuovo"
"Acqua piovana proveniente dalla strada di Vitignano e dalla strada di accesso alla Filarmonica in mancanza di grigliecaditoie attraversa la provinciale e tracima sulle sistemazioni del percorso pedonale ",3,"Manutenzione","castelnuovo"
"l ultimo lampione di via ser gelino  non funzia da una settimana",2,"Illuminazione","castelnuovo"
"Presenza di nubi di moscerini che impediscono l apertura delle finestre ",1,"Ambiente","castelnuovo"
"Buonasera  sono ormai alcuni mesi che sono stati rifatti i marciapiedi nella zona in cui abito  Il cartello della mia via risulta appoggiato al muro del mio vicino di casa dalla data di inizio lavori e non e mai stato ricollocato nella sua posizione originaria  Questo ovviamente crea disagio in quanto anche una banale consegna con corriere puo risultare difficoltosa  Quando sara sistemato   Grazie  Luca",4,"Sicurezza","castelnuovo"
"la casa dell acqua e completamente al buio bisognerebbe sostituire la lampadina ",2,"Illuminazione","castelnuovo"
"IL MADONNINO CHE ERA POSTO ALL INCROCIO NON xcx STATO ANCORA RIPOSIZIONATO DOPO I LAVORI DI SISTEMAZIONE DELLA STRADA",3,"Manutenzione","castelnuovo"
"Presenza di tombino otturato",3,"Manutenzione","castelnuovo"
"All incrocio indicato era presente uno specchio molto utile per i veicoli che da Via Bocca degli Abati si immettono in Via dei Ghibellini  con lo scopo di facilitare la visibilita di veicoli che sopraggiungono  Tale specchio e stato rimosso da alcune settimane  Sarebbe utilissimo rimetterlo a posto  Si possono evitare incidenti  Grazie ",4,"Sicurezza","castelnuovo"
"vi e stata segnalata piu volte senza esito  la necessita di ripristinare una pericolosa buca formatasi nel tratto compreso  p za guido da siena e via del castelletto di pancole  attendiamo con fiducia un vostro intervento   cordiali saluti",3,"Manutenzione","castelnuovo"
"Da circa un anno effettuato rifacimento marciapiede comunale con nuovo lampione in zona priva di illuminazione  non ultimati i lavori con prolungato disagio per coloro che di notte devono percorrere il marciapiede al buio ",2,"Illuminazione","castelnuovo"
"presenti profonde buche sull asfalto di via dei fossi grazie",3,"Manutenzione","castelnuovo"
"segnalo che da piu tempo   mesi  il lampione pubblico davanti alle nostre abitazioni  n   di poggiarello la ripa  si accende e si spegna in continuazione per tutta la notte",2,"Illuminazione","castelnuovo"
"lampione spento",2,"Illuminazione","castelnuovo"
"IN RIFERIMENTO ALLA LOTTIZZAZIONE POGGIO TEO FACCIO PRESENTE CHE A DISTANZA DI CIRCA  ANNI DALLA COSTRUZIONE DEI FABBRICATI IL VOSTRO COMUNE NON HA ANCORA APPLICATO IL CARTELLO CON IL NOME DELLA STRADA E NON HA ASSEGNATO I NUMERI CIVICI  QUESTA INERZIA PROVOCA MOLTI DISAGI AGLI ABITANTI CHE MOLTE VOLTE  NON RICEVONO LA POSTA A LORO INDIRIZZATA  RESTO IN ATTESA DI UNA RISPOSTA  RAG  SIMONE BRACONI",4,"Sicurezza","castelnuovo"
"Vengono abbandonati usualmente i rifiuti fuori dai cassonetti  in special modo fuori dalla raccolta differenziata della plastica a causa spesso della insufficienza dei cassonetti e della ridotta apertura delle bocchette",1,"Ambiente","castelnuovo"
"c e una buona meta ma anche  della via che dopo i lavori del  e stata lasciata in balia di se stessa ed e direi sempre piu disastrata avevo gia fatto altre segnalazioni e mi era stato risposto che la prossima primavera sarebbe stato risolto ora senza scendere troppo in polemiche che non giovano certo a nessuno rinnovo la mia segnalazione sperando che sia presa in carico  grazie",3,"Manutenzione","castelnuovo"
"Buonasera  vorrei esporre un problema  Da circa qualche mese  nel mio palazzo  dove peraltro siamo tutti affittuari  si e trasferito un inquilino  che credo sia affetto da patologia psichica  Tutto il giorno  ed ora anche la notte urla  bestemmia  lancia oggetti  mozziconi di sigaretta dal terrazzo e tanto altro  A parte la solidarieta per il caso umano  questa situazione mi sta nuocendo in quanto ho una bimba di  mesi che ne e disturbata e non riesce a dormire  Ho avvisato il  che mi ha suggerito di informare il   Il  mi ha risposto che non e di loro competenza e di provare ad avvisare i vigili urbani  Ma io mi chiedo  alle    dopo una giornata di faticoso lavoro  e mai possibile che io debba fare una segnalazione di questo tipo e che la mia bambina non riesce ancora ad addormentarsi     Quali sono gli uffici competenti  Come puo una persona con tali problemi vivere da solo   Resto in attesa di un vostro riscontro e porgo cordiali saluti ",3,"Manutenzione","castelnuovo"
"da anni non esiste praticamente piu il manto stradale  caratterizzato da pericolose buche  profonde fosse e disseminato di vegetazione spontanea  e indecoroso e pericoloso",3,"Manutenzione","castelnuovo"
"La pavimentazione asfalto intorno al tombino della fognatura in piazza del Popolo e  ormai da molto tempo  danneggiata ",3,"Manutenzione","castelnuovo"
