text,class,infoclass,city
Nel parchetto giochi tra via Filippo Turali e Via Aldo Moro  uno dei giochi per bambini presenti il cavallino e rotto  Inoltre la fontana presente nel parchetto non funziona  Risultava presente anche molta sporcizia che ho eliminato io ,1,Ambiente,castelnuovo
LA CADITOIA INDICATA E  COMPLETAMENTE OTTURATA,1,Ambiente,castelnuovo
la zona dei giardini pubblici a ridosso delle mura sembra abbandonata a se stessa  erba alta ovunque e siepe vicino alla cabina del telefono da potare rende difficile il passaggio  grazie,1,Ambiente,castelnuovo
Il giorno di pasquetta  nel punto indicato  era possibile notare quantita notevoli di immondizia che debordavano dal cestino che evidentemente era tempo che non veniva svuotato  Se si mette un cesto  e anche opportuno prevedere un servizio di ripulitura  Altrimenti  bisogna affidarsi al buon senso civico delle persone ,1,Ambiente,castelnuovo
Le altalene e i giochi posti in Via Tarantelli  di fronte scuola Italo Calvino  necessitano di una manutenzione  In particolare lo scivolino e i cavallini hanno parti in legno danneggiate e il richio e che qualche bimbo si possa far male  Sarebbe opportuno anche aggiungere qualche gioco ,1,Ambiente,castelnuovo
vi facciamo presente una invasione di formiche in tutta la piazza non possiamo uscire di casa e camminare nella piazza perche subito salgono sui piedi e sulle gambe  pensate ai bambini  ,1,Ambiente,castelnuovo
La chiavica della strada comunale scarica acqua su strada vicinale che porta al podere Alceta rendendo impraticabile la strada  La chiavica necessita di ulteriore canalizzazione ,1,Ambiente,castelnuovo
L erba e le siepi del giardino pubblico di via Alfieri hanno bisogno di essere tagliati  Inoltre  sarebbe auspicabile che venissero tolti gli inutili tubi di cemento nel giardino  Grazie per quello che potrete fare,1,Ambiente,castelnuovo
All incrocio di Pialli I e presente una chiazza sul manto stradale  Sembra essere una perdita di acqua  Da considerare che qualche metro piu indietro sono stati eseguiti e piu volte  uno anche di recente interventi di ripristino per altre fuoriuscite simili ,1,Ambiente,castelnuovo
da alcuni giorni il depuratore emana una puzza insopportabile  Non si puo stare fuori,1,Ambiente,castelnuovo
da alcuni giorni il depuratore emana una puzza insopportabile  Non si puo stare fuori,1,Ambiente,castelnuovo
Vorrei segnalare la caduta di un albero secco ormai da anni sulla strada che porta verso la localita di Monaciano  Questo non sarebbe accaduto se fosse stato tolto prima ma e molto tempo che il Comune non si occupa piu del verde pubblico di Ponte a Bozzone  Inoltre io mi trovavo vicino con la bimba nel passeggino e ovviamente mi sono spaventata molto  capisco che vogliate spendere per la bellezza del centro di Castelnuovo  ma almeno occupatevi delle le opere di sicurezza pubblica delle altre frazioni anche perche  fosse andata in una altro modo  sapete benissimo che la questione non si sarebbe risolta con una semplice segnalazione  A Ponte a Bozzone purtroppo i problemi sono tanti altri  fognature   depuratore  manutenzione stradale e ormai ci sentiamo abbandonati da tempo    Cordiali saluti  Giulia,1,Ambiente,castelnuovo
Salve  e assolutamente necessario apporre un cartello nel giardinetto di Piazza Guttuso che fa divieto ai proprietari di animali di condurli per i loro bosogni  Lo richiediamo da molti anni ormai  Non si puo davvero attendere oltre ,1,Ambiente,castelnuovo
Buongiorno  con la presente sono a richiedere la costruzionedelimitazione di un area o una zona dedicata allo sguinzagliamento dei cani  Purtroppo come sempre piu frequenza mi sono ritrovato a discutere con i residenti  perche le uniche aree verdi illuminate sono destinate ai bambini e quindi  secondo loro  vietate ai cani  Mi sono arrivate anche minacce  Vi prego di darmi risposta quanto prima  Grazie   Cordiali saluti  Marco Minucci,1,Ambiente,castelnuovo
Si richiede urgentemente un area per cani a Monteaperti,1,Ambiente,castelnuovo
si segnala la mancanza di un area cani in localita Monteaperti,1,Ambiente,castelnuovo
Si segnala che a Vagliagli ai cassonetti dei rifiuti in via Senese  incrocio con strada di Carpineto vengono di continuo abbandonati rifiuti ingombranti  Oggi sono presenti  televisori  un materasso con rete e diversi scatoloni pieni di rifiuti ,1,Ambiente,castelnuovo
Le strade di via salvani e via ceccolini sono perennemente sporche e i cestini non vengono mai svuotati se non dai cittadini mossi da un po di buon senso civico  e una situazione inaccettabile ,1,Ambiente,castelnuovo
Nel parchetto giochi tra via Filippo Turali e Via Aldo Moro  uno dei giochi per bambini presenti il cavallino e rotto  Inoltre la fontana presente nel parchetto non funziona  Risultava presente anche molta sporcizia che ho eliminato io ,1,Ambiente,castelnuovo
Presenza di nubi di moscerini che impediscono l apertura delle finestre ,1,Ambiente,castelnuovo
Vengono abbandonati usualmente i rifiuti fuori dai cassonetti  in special modo fuori dalla raccolta differenziata della plastica a causa spesso della insufficienza dei cassonetti e della ridotta apertura delle bocchette,1,Ambiente,castelnuovo
Buongiorno  sono un Tour Operator in Svizzera e vorrei segnalare le condizioni pietose in cui si trova la zona del monumento di Montaperti   Sono stata in luglio per visitare il monumento e  con raccapriccio  ho trovato una pattumiera ed un gabinetto a cielo aperto  Pensavo di poterci portare un gruppetto di americani in settembre  ma non farei una bella figura  Diciamo che e triste vedere un sito storico di tale importanza ridotto in quelle condizioni ,1,Ambiente,castelnuovo
Salve con la presente volevo segnalare che un giochino a molla e rotto e gli altri sono rovinati  Essendo di legno le schegge possono ferire i bambi,1,Ambiente,castelnuovo
All altezza del civico  della va Dante a Cagliari  segnalo che i rami e la chioma di alcuni alberi si appoggiano ormai al mio balcone  primo piano  consentendo a insetti e parassiti di entrare nell abitazione  Si chiede pertanto che interveniate urgentemente potando i rami di queste piante  cos da risolvere questa situazione che ho provveduto a documentare  Tale intervento  gia sollecitato  da alcuni anni non viene posto in essere  Grazie,1,Ambiente,cagliari
Buongiorno  giungendo dal Poetto e percorrendo la rampa che dall asse mediano consente di raggiungere il viale Marconi  ho notato un grosso albero credo si tratti di un fico che coi rami e foglie occupa pericolosamente il bordo strada sulla destra  Grazie e alla prossima  Gianluca,1,Ambiente,cagliari
in via Giudicessa Benedetta angolo via Giudicessa Vera esiste un aiuola spartitraffico che non ha mai ricevuto cure dal Comune  Fino ad un paio di anni fa comunque era abbellita da un bel pino cresciuto spontaneamente che un giorno in seguito ad una abbondante pioggia si accasci su un lato  Gli operai del comune ed i Vigili del Fuoco intervennero abbattendolo e da allora l aiuola  diventata prima parcheggio abusivo e poi immondezzaio Tutto ci  documentato da foto che potrei allegare su richiesta Oggi l aiuola  un cumulo di erbacce incolte che una mano pietosa ha cercato di abbellire piantando un giovane platano non riesco ad inviarvi la foto in allegato La mia richiesta  di un intervento del Comune per ridare all aiuola un aspetto decoroso con l impianto di nuove piante ed interventi periodici di mantenimento  Grazie ,1,Ambiente,cagliari
Parco della musica pavimentazione altamente scivolosa  dovuta sia a sua struttura superficiale la pietra  liscia ma anche all aggravante delle sostanze viscide perennemente presenti sulla sua superficie a causa delle fontane dello stesso parco e  in caso di pioggia  da quest ultima  Pavimentazione altres fratturata in molti punti ,1,Ambiente,cagliari
Nel giardino comunale di via del pozzetto con accesso vicino al civico  durante la serata di ieri  stata abbattuta una panchina di cemento che la momento  smontata sul pavimento costituendo cos un pericolo per i bambini che frequentano di giorno quel giardino  ,1,Ambiente,cagliari
Con la segnalazione n   del  gennaio si lamentava il fatto che solo le fronde notevolmente basse degli alberi del giardino della scuola elementare di via Is Guadazzonis sono un ostacolo e non quelle dei giardini privati di via Cesalpino  parecchio alte  e pertanto ci dispiace per l equivoco specificatamente evidenziamo la difficolta  di transitare nel marciapiede di via Is Guadazzonis per accedere ai cassonetti della raccolta differenziata dei rifiuti  situati per l appunto davanti alla scuola in secondo luogo le fronde delle palme del medesimo giardino sono basse al punto da graffiare il tetto delle auto in transito nella via Cesalpino  Tempo fa  interessata la direzione della scuola  ci veniva risposto che la competenza era di codesto Comune  Si ringrazia  Distinti saluti ,1,Ambiente,cagliari
 verde pubblico   Abito nelle vicinanze della sede del liceo Michelangelo in via Melis accesso via Schiaffinoe vi devo segnalare una situazione che a me pare critica  L ingresso della scuola  posizionato nella parte finale della via Schiaffino  strada a senso unico di marcia che in prossimit dell ingresso del Liceo si restringe ulteriormente  Gli studenti sono costretti a sostare  invadendo la sede stradale nell imbuto descritto  in una situazione di disagio evidente  Davanti all ingresso  della scuola  presente un giardinetto comunale che anzich essere messo a disposizione degli studenti e della collettivit nelle fasi d ingresso e d uscita dalla scuola  stato inspiegabilmente recintato e abbandonato  Vi chiedo cortesemente di valutare questa situazione e di voler restituire alla comunit questo piccolo spazio che risulterebbe prezioso per evitare possibili incidenti e rendere pi decoroso laccesso al Michelangelo ,1,Ambiente,cagliari
I cani a Monte Urpinu giardini sporcati  rischio per le persone  sia di imbrattarsi che di essere morsi vorrei segnalare che c  chi porta liberamente il cane all interno del parco di Monte Urpinu con o senza guinzaglio  Nei cartelli dei regolamenti sotto la pensilina ingressi A ed E   c  il divieto di introdurre qualsiasi specie di animale anche se solo di passaggio tranne per i cani di sostegno per i portatori di handicap  Invece  nonostante ci sia un area per i cani di ben  mqdiscesa di viale Europa  vedasi segnalazione con cartello all ingresso B  Esiste quindi un regolamento chiaro e senza interpretazioni solamente cinofile  Grazie  Allego immagine,1,Ambiente,cagliari
In Via Anfiteatro Prima parte arrivando da viale Buon Cammino alcuni arbusti e cespugli troppo folti invadono il marciapiede portando le persone a doversi inchinare per passare oppure a invadere la carreggiata  con tutti i rischi connessi  Ci vuole una potatura ,1,Ambiente,cagliari
Diverse volte ho visto gli operai all opera per potare l erba dal bordo strada  Ma a Pirri  via dei Mandorli di fronte al civ  sono si sono mai fermati  Aspettiamo il loro intervento  Grazie ,1,Ambiente,cagliari
Al di fuori del Cimitero Comunale di Pirri  nelle aree verdi circostanti il perimetro dello stesso  con le piogge primaverili  cresciuta una vegetazione spropositata  di erbacee erba alta ormai pi di  cm  vegetazione spontanea  che porta gi da ora nel mese di aprile col sopraggiungere della stagione calda  una esorbitante presenza di insetti  soprattutto zanzare delle specie pi svariate  si chiede di intervenire in merito tagliando le erbacee cresciute e eventualmente anche con una disinfestazione ,1,Ambiente,cagliari
La presente per segnalare il malfunzionamento della fontanella del parco di via Brotzu a Cagliari  La fontanella in questione  la prima fontanella fianco edificio di via Brotzu   La maggior parte del tempo la fontanella continua a far scorrere acqua a causa del malfunzionamento del rubinetto  Grazie,1,Ambiente,cagliari
Salve  gradirei informarvi che il parco ad angolo fra la via figari  e la via del nastro azzurro  letteralmente invaso dalle zanzare  Questi insetti sono talmente numerosi che  diventato pressocch impossibile stazionare nel parco ove mi recavo frequentemente sia solo che in compagnia di mia figlia di  anni  perch nel parco  presente anche un area attrezzata per bambini  L infestazione  dovuta al fatto che nel parchetto  presente un lagatto artificiale che verosimilmente non  stato oggetto di dovuta disinfestazione  Vi invito a provvedere al pi presto possibile poich oltre ad essere fastidiose e provocare punture  che soprattutto nei bambini risultano dolorose  tali insetti sono vettori di malattie sia per gli uomini che per gli animali ,1,Ambiente,cagliari
in riferimento alla mia segnalazione n  del   riguardo la situazione di abbandono dell aiuola di via Giudicessa Benedetta angolo via Giudicessa Vera  Ho apprezzato il vostro intervento di ripulitura effettuato dopo la mia richiesta  ma pensavo che l aiuola fosse stata inserita nel circuito di mantenimento del verde della zona  Invece ho potuto notare che mentre  attiva periodicamente la manutenzione delle aiuole di via Bacaredda  l aiuola in oggetto non  stata pi ripulita  Come mai  devo considerare l intervento di gennaio una tantum  spero di no e chiederei che la manutenzione dell aiuola venga fatta periodicamente come avviene per il giardinetto di via Bacaredda dove non c  irrigazione grazie    omissis   ,1,Ambiente,cagliari
Buongiorno    omissis     Vi scrivo per segnalarVi e richiederVi che l erba venga tagliata in quanto come si pu notare dalle foto in allegato ha superato   m abbondanti Essendoci l ampia presenza di bambini abitanti nei palazzi adiacenci al campo richiedo la potatura dell erba essendo portatrice di zecche pulci insetti vari e e piante come l ortica che rappresentano un pericolo per tutti              ringrazio per l attenzione e spero di avere presto vostre notizie                  DISTINTI SALUTI    omissis    ,1,Ambiente,cagliari
Piazzetta San Sepolcro luogo di ritrovo di bambini dei quartieri Marina e Stampace In una delle piccole aiuole a raso terra  presente un picchetto metallico forse per la messa a terra della corrente  piuttosto acuminato che fuoriesce dal terreno e costituisce un serio pericolo per i bambini ma anche gli adulti che possono inciamparvi o peggio  giocando  sbattervi la testa  Si tratta dell albero a sinistra guardando verso la chiesa di fronte alle scalette di Sant Antonio  ,1,Ambiente,cagliari
Via Praga nel tratto tra via Abbazia e via Oslo  Fontanella necessita di buona manutenzione  Il pessimo stato rende pericoloso il percorso ,1,Ambiente,cagliari
Via Praga tratto tra via Oslo e via dell Abbazia  Supporto di cestino rifiuti necessita di sistemazione della base di fondazione ,1,Ambiente,cagliari
Vorrei sollecitare la pulizia delle aiuole in Piazza Salento  L erba incolta  ricopeta da cartacce e rifiuti vari  Sarebbe necessaria una puliza generale  Ringrazio per la cortese attenzione ,1,Ambiente,cagliari
Salve  vi segnalo che in zoan Is corrias  Pirri  Via delle Felci  all altezza dei numeri civici   vi sono dei campi incolti destinati a servizi pubblici dove le erbacce crescono in maniera incontrollata invadendo i marciapiedi con gravi disagi per gli abitanti della zona  Infatti non  pi possibile passare nel marciapiede e inoltre con l arrivo del caldo si  a rischio incendi con pericolo per le abitazioni limitrofe e le auto parcheggiate  Proprio l anno scorso  stato infatti dato in fiamme il campo con grande paura per tutti  Sarebbe possibile procedere con il taglio delle erbacce che invadono i marciapiedi  e dell intero campo evitando che succeda ci che  successo l anno scorso  Grazie     omissis   ,1,Ambiente,cagliari
Vorrei segnalare che in tutta la zona Monte Mixi  Bonaria  Amsicora  nonostante siano presenti diverse zone verdi  in nessuna di queste  stato previsto di destinare una parte delle stesse ai bambini con l installazione di giochi altalene  scivoli  ecc  abbondantemente presenti in altre zone Quartiere del Sole  Genneruxi  Le zone verdi sono praticamente destinate solo ai cani con relativi escrementi  Grazie,1,Ambiente,cagliari
buongiorno a proposito della solita aiuola di via Giudicessa Benedetta angolo via Giudicessa Vera che in pi occasioni ho chiesto venisse inserita nel circuito di manutenzione delle aiuole di via Bacaredda  Giorni fa ho visto che operai comunali stavano ripulendo e potando le aiuole poste in via Bacaredda tra via G  Benedetta e via S  Vetrano  Allora mi sono avvicinata per chiedere se avrebbero fatto lo stesso tipo di pulizia all aiuola in questione e mi  stata data risposta affermativa  Invece a distanza di giorni l aiuola di via G  Benedetta angolo via G  Vera  ancora piena di erbacce  Gradirei sapere se verr ripulita o no  grazie,1,Ambiente,cagliari
Piazza Garibaldi qui da oggi manca un albero   stato tagliato  Perch  un ennesimo sacrificio del verde pubblico  Non credo ci siano motivazioni valide per sacrificare un albero  spero vivamente che ne venga piantato un altro al suo posto  grazie,1,Ambiente,cagliari
Parco della musica  Porto spesso mio figlio al parco e ho notato che l irrigazione viene effettuata a mezza mattina quando il parco  usufruibile dal pubblico  Non sarebbe meglio farlo durante le ore della notte visto che comunque  fatto con un timer  Tra l altro l impianto d irrigazione non sembra funzionare molto bene visto che si formano delle pozze d acqua abbastanza grandi e altre aree rimangono a secco    Cordiali saluti     omissis   ,1,Ambiente,cagliari
Vorrei segnalare che all interno del portico sant Antonio accesso dalla via Manno c  una fioriera stracolma di rifiuti di ogni genere  Sarebbe il caso di ripulirla e abbellirla  come le altre che stanno sulla via Manno  Grazie ,1,Ambiente,cagliari
Parco della musica molto  molto sporco  Troppa sporcizia in giro a causa delle persone incivili che lo frequentano  Mozziconi di sigaretta ovunque  E sporcizia varia sparpagliata nel verde  Inoltre mancano vari ciottoli grossi lungo l argine del ruscello  E  un vero peccato che sia cos trasandato   ,1,Ambiente,cagliari
La fontanella  un po nascosta  situata dietro la chiesetta di santa chiara nel passaggio per l ascensore  possiede un erogazione dell acqua non usufruibile per dissetarsi  E  possibile la sostituzione del rubinetto ,1,Ambiente,cagliari
Da circa  mesi hanno tolto dei cassonetti per i rifiuti angolo via Eleonora d Arboreavia Lanusei  Ogni giorno  uno schifo  Allego foto fatta domenica  giugno  E  presente anche un topo di fogna morto che olezza,1,Ambiente,cagliari
A causa di un incendio risalente ormai a un mese fa circa sul marciapiede di via dei conversi vi sono ancora rami e piante bruciate che vietano il transito dei pedoni costretti cos a passare in strada creando pericolo per loro stessi e per gli automobilisti che transitano in quella via essendo il punto a ridosso di una curva,1,Ambiente,cagliari
Presso la fermata Saline Aias via Lungomare del Golfo  presente numerosa spazzatura stracci vari  busta con roba indefinita  bottiglie  possibile rimuoverla ,1,Ambiente,cagliari
Vorrei segnalare che accanto all ingresso dell ippodromo si  formata una piccola discarica con rifiuti vari  Sarebbe necessaria una pulizia   ,1,Ambiente,cagliari
Si segnala la formazione di una discarica abusiva lungo la recinzione dell Ippodromo nel lato del Lungomare Poetto nell area in cui sino al periodo scorso erano ubicati i cassonetti per la raccolta indifferenziata,1,Ambiente,cagliari
Vorrei segnalare lo stato in cui si trova da alcuni mesi la zona transennata  ma ben frequentata  della piazza Ingrao  ,1,Ambiente,cagliari
Richiesta di pulizia del marciapiede nell Asse Mediano  nel tratto compreso tra la fine della passeggiata lungo il canale di Terramaini e l ingresso al Parco di Molentargius  Tale marciapiede viene anche utilizzato da occasionali ciclisti per poter passare dalla pista ciclabile lungo il canale nel tratto interrotto circa  mt   ed  molto pericoloso in quanto invaso in alcuni tratti da una specie di ficus con dei frutti spinosi    Tra l altro tale marciapiede  ulteriormente ristretto per un tratto di circa  mt   aumentando la possibilit di inciampo e successiva caduta nella corsia delle auto  Grazie per l attenzione     omissis   ,1,Ambiente,cagliari
Da alcuni mesi in via Cadello all altezza del numero  manca il cassonetto dei rifiuti organici ,1,Ambiente,cagliari
