text,class,infoclass,city
La presente per segnalare la presenza di un cavo quotutenzaquot forse Enel volante e penzolante appoggiato a degli improbabili pali in legno situazione molto pericolosa per chi deve accedere alla propria abitazione e per i mezzi da lavoro che si recano giornalmente in Loc  Mezzanella per la ristrutturazione di un rustico  In pixfa occasioni trasporto di GruEscavatori si sono impigliati strattonando violentemente il cavo    Si prega di intervenire quanto prima affinchxe non si verifichino spiacevoli incidenti ,3,Manutenzione,negrar
Richiesta installazione specchio fra via Osimana e via Scandalli,3,Manutenzione,camerano
dopo alcune ore la situazione nei pressi dei cassonetti di via Macomer angolo via Tempio  peggiorata come si pu vedere dalla foto  inoltre presso i cassonetti di via Ozieri angolo via Macomer  presente uno scaldabagno,1,Ambiente,cagliari
Vorrei segnalare il fatto che nella Via Monte Santo  presso numero civico   a causa delle grondaie dei palazzi che scaricano l acqua sopra il marciapiede anzich nelle fogne  le mattonelle di quest ultimo sono saltate creando pericolo alle persone che  passando a piedi  si ritrovano a fare i conti con una pavimentazione traballante  per non parlare del fatto che da sotto  come ci si mette il piede  schizza fuori l acqua sporcando scarpe e pantaloni  Tale problema si rappresenta praticamente per tutta la via e su entrambi i lati  ,4,Sicurezza,cagliari
Buongiorno  sono lieta che finalmente sia stata messa la banda rallentatrice in via Udine  tuttavia  stata posata  a mio parere  nel punto sbagliato della strada e andrebbe spostata    La banda in questione  infatti stata posata all altezza del civico    in prossimit della rotondina sita all altezza del civico   che   costituisce gi di per se un punto di naturale rallentamento per le auto  Il tratto di maggior scorrimento di via Udine  compreso tra il civico  e il civico  punto in cui si inizia a rallentare per la rotonda   e l innesto di via Michelangelo  La banda andrebbe quindi posta tra il   civico  che  un grosso campo  da entrambi i lati della strada e il civico   Chiedo quindi di valutarne e realizzarne lo spostamento  Grazie  Saluti  Paola Camoletto,4,Sicurezza,volpiano
Nei mesi scorsi la via e stata oggetto di scavi per la fognatura da parte di acque veronesi  Attualmente la strada e coperta da terriccio e chiamino  Chiedo se dopo  dalla sua costruzione sia lecito richiedere un intervento sia di pulitura che di una ordinaria manutenzione  Grazie,1,Ambiente,negrar
Vorrei segnalare che in Via Monte Rosa    necessario tagliare l erba   che ormai  altissima e impedisce la   visuale  Normalmente il Comune si occupa di tagliare la striscia a ridosso   della strada  ma quest anno in estate ci  stato fatto   parzialmente e frettolosamente  Inoltre vorrei chiedere se non si pu intervenire presso i proprietari dei terreni privati e INCOLTI che costeggiano la strada sono ormai un bosco informe  con erbacce alte  metri e facilmente infiammabili data la siccit  Possibile che non ci sia la possibilit di chiedere ai proprietari di tenere pulite le loro terre  Grazie ,3,Manutenzione,volpiano
Ogni volta che c e un temporale  in via Malanchini saltano i tombini e la strada si riempie di sassi e acqua  Cio e causato dalle cunette piene di erba  E  necessaria una pulizia oppure obbligare i proprietari dei terreni confinanti a tenere pulite le cunette   ,3,Manutenzione,negrar
La Ditta oggi ha eseguito i lavori di rimozione dei mucchi di terra a ridosso del muro di cinta   lasciati in seguito dei lavori di posa dei tubi per il gas metano  Pertanto la segnalazione di ieri e da ritenersi risolta  Grazie  ,3,Manutenzione,negrar
Buongiorno Con la presente si segnala la presenza nel Terrapieno di Cagliari  in corrispondenza dei numeri civici    e  di via San Saturnino  di tre piante di agavi prospicienti i cortili interni di tali abitazioni a rischio di caduta e conseguente grave minaccia per lincolumit dei residenti  Si comunica che gi una pianta della stessa specie   caduta nei giorni scorsi allinterno di un  cortile mentre unaltra  nella notte tra sabato e domenica  sulla via San Saturnino  Si chiede un intervento immediato  anche perch per i prossimi giorni  previsto un forte vento di maestrale ,1,Ambiente,cagliari
