text,class,infoclass,city
Buongiorno  segnalo la rumorosita insostenibile prodotta dal servizio di pulizia della piazza Garibaldi durante le ore notturne     Tale situazione preclude un normale tempo di riposo con pesanti ripercussioni psicofisiche ,1,Ambiente,cagliari
Ancora una volta vengo a segnalare la pericolosit della Via Antonio Segni che  all apice della sua quota stradale  produce una notevole pendenza tale da invogliare i conducenti di veicoli a precipitarsi imprudentemente dal dosso in picchiata verso la ripida discesa compromettendo la sicurezza di quel tratto stradale  Prego voler cortesemente valutare la opportunit di intervenire con adeguata segnaletica triangoli  dissuasori  luci intermittenti ecc  sia verticale che orizzontale tale da induca a moderare la velocit  Sperando ancora nell interessamento da parte della Sede competente e restando in attesa di un cenno di Vs cortese riscontro  porgo distinti saluti  Giovanni Galante,3,Manutenzione,cagliari
LASTRA DI GHIACCIO PERICOLOSA TRA VIA POZZA STROA E STRADA ANTOLINI ,3,Manutenzione,negrar
Buongiorno   la presente  per richiedere un vostro intervento sul controllo della velocit nella Via Is Maglias  poich  sempre pi pericoloso spuntare dagli incroci  scendere dalla macchina o fare manovra per parcheggiare  auto  moto o scooteroni si lanciano letterarmente all  alto verso il basso  da Viale merello a Piazza San Michele a tutte le ore del giorno e della notte creando fastidiosi rumori con rombi e frenate e spesso si verificano incidenti   Altra segnalazione la facciamo per quanto riguarda la pericolosit nella svolta da via Castelli a via R  Bacchelli  in quanto  presente un dosso che impedisce una chiara visibilit e lo specchio installato rassicura solo la svolta inversa da via Bacchelli a via Castelli   Detto questo vi ringraziamo per i lavori svolti sin ora che hanno sicuramente migliorato la viabilit e l estetica di Via Is Maglias  semplicemente la sicurezza di tutti non si pu affidare al buon senso di pochi   Grazie per l attenzione  un cordiale saluto   Stefania,4,Sicurezza,cagliari
Questa mattina non e stato raccolto l umido ,1,Ambiente,negrar
Si segnala la necessaria chiusura in orario serale del parchetto in zona via Casa Zambonivia Galilei ad Arbizzano  causa disturbo della quiete pubblica  Tali parchetti sono concepiti per il divertimento dei bambini e non per altro  e dovrebbero chiudere alle  o  di sera  ,1,Ambiente,negrar
Sulle campane di fronte alle celle mortuarie ci sono scritte bestemmie Si prega di provvedere al piu presto ,1,Ambiente,negrar
Igiene del Suolo  si segnala la presenza  da molti mesi   di vari accumuli di rifiuti inclusi alcuni apparecchi TV  lungo i marciapiedi e le cunette a partire dallo svincolo da Viale Salvatore Ferrara verso la Marina di Sant Elmo parcheggi calata dei Trinitari e dalla Marina di Sant Elmo verso Piazza Marco Polo Fiera  entrambe le direzioni di marcia,1,Ambiente,cagliari
Nonostante diverse segnalazioni e da moltissimi anni in Via del Sestante  davanti la scuola materna cancellate dal tempo mancano le strisce pedonali e il relativo cartello e stato asportato  Quanto sopra genera quotidianamente un notevole pericolo per genitori e bambini che attraversano la strada Sperando che finalmente si provveda ad eliminare questo sconcio  saluto cordialmente  G Paolo Di Fraia,3,Manutenzione,cagliari
Ancora oggi  presenza di ratto morto fronte angolo cimitero di fane    ,1,Ambiente,negrar
Buonasera e da circa due mesi che il camion del servizio di nettezza urbana ha divelto il palo della luce in via borromini fronte civico  visto che lo stesso e l unico che illumina il civico prima citato Potete ripristinare il tutto in tempi brevi  Anticipatamente ringrazio,2,Illuminazione,cagliari
Dalla protezione civile di Mazzano fino al civico  casa dopo la chiesa le erbacce invadono la strada riducendo la visibilita specie nelle curve oltre al pericolo di incendi Inoltre gli automobilisti sono costretti ad usare il clacson disturbando i residenti ,1,Ambiente,negrar
Buca profonda davanti al civico ,3,Manutenzione,negrar
via Francia e dintorni sono da due giorni non illuminate  ,2,Illuminazione,negrar
Il primo lampione di via dei Fiori venendo da Via senese funziona ad intermittenza ,2,Illuminazione,castelnuovo
Nella parte alta di piazza maremma   stata danneggia ta una parte  di aiuola che delimita i parcheggi  Vista anche la recente riqualificazione della piazza  sarebbe auspicabile il a ripristino  Ringrazio anticipatemente,3,Manutenzione,cagliari
